Number of hit	Text ID	Context before	Query item	Context after	Tagged context before	Tagged query item	Tagged context after	URL	Matchbegin corpus position	Matchend corpus position
11	vsb_001_1860_007_321_323_e254	Alltags- , 1419 Fortbildungs- und 1746 ArSêits- schüler unterrichtet .	Absenzen	fanden nicht weniger als 64,916 statt , 3,176 mehr als	Alltags-_TRUNC ,_$, 1419_CARD Fortbildungs-_TRUNC und_KON 1746_CARD ArSêits-_TRUNC schüler_NN unterrichtet_VVPP ._$.	Absenzen_NN	fanden_VVFIN nicht_PTKNEG weniger_ADV als_KOKOM 64,916_CARD statt_PTKVZ ,_$, 3,176_CARD mehr_ADV als_KOKOM	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hempt636ouw&batch=10	772428	772428
12	bso_002_1868_001_173_176_e44	" zc . Strengere Bestimmungen für Bestrafung der unmtschul- digten	Absenzen	sind im Interesse eines geordneten und gut gegliederten Unterrichts ,	"_$( zc_NE ._$. Strengere_ADJA Bestimmungen_NN für_APPR Bestrafung_NN der_ART unmtschul-_ADJA digten_ADJA	Absenzen_NN	sind_VAFIN im_APPRART Interesse_NN eines_ART geordneten_ADJA und_KON gut_ADJD gegliederten_ADJA Unterrichts_NN ,_$,	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hempt636ouw&batch=11	1082705	1082705
13	skz_004_1858_000_189_196_e508	die Anwesenden und Abwesenden ( diese mit den Ursachen der	Absenz	) im Proto- coll zu bemerken . ' ' '	die_ART Anwesenden_NN und_KON Abwesenden_NN (_$( diese_PDS mit_APPR den_ART Ursachen_NN der_ART	Absenz_NN	)_$( im_APPRART Proto-_NN coll_ADJD zu_PTKZU bemerken_VVINF ._$. '_$( '_$( '_$(	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hempt636ouw&batch=12	1096741	1096741
14	slz_001_1856_001_145_178_e8	Schiiler und Schulverhältnifse . Bezirke : Alltagschüler . Fortbildungsschüler .	Absenzen	. Schaffhausen 2110 495 27,891 Klettgau 2712 685 29,865 Höhgau	Schiiler_NN und_KON Schulverhältnifse_NE ._$. Bezirke_NN :_$. Alltagschüler_NE ._$. Fortbildungsschüler_NE ._$.	Absenzen_NN	._$. Schaffhausen_NE 2110_CARD 495_CARD 27,891_CARD Klettgau_NN 2712_CARD 685_CARD 29,865_CARD Höhgau_NN	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hempt636ouw&batch=13	1197270	1197270
15	syn_001_1860_000_16_71_e104	. In den Repetir- und Singschulen trat eine Verminderung der	Absenzen	ein , indem hier die Verantworteten um 3,993 , die	._$. In_APPR den_ART Repetir-_TRUNC und_KON Singschulen_NN trat_VVFIN eine_ART Verminderung_NN der_ART	Absenzen_NN	ein_PTKVZ ,_$, indem_KOUS hier_ADV die_ART Verantworteten_NN um_APPR 3,993_CARD ,_$, die_ART	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hempt636ouw&batch=14	1204099	1204099
16	syn_001_1860_000_16_71_e104	daß die Ergebnisse des letzten Jahres mit Bezug auf das	Absenzenwesen	zu den allergünstigsten gehören , wie sie nur unter besonders	daß_KOUS die_ART Ergebnisse_NN des_ART letzten_ADJA Jahres_NN mit_APPR Bezug_NN auf_APPR das_ART	Absenzenwesen_NN	zu_APPR den_ART allergünstigsten_ADJA gehören_VVFIN ,_$, wie_KOUS sie_PPER nur_ADV unter_APPR besonders_ADV	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hempt636ouw&batch=15	1204156	1204156
17	syn_001_1860_000_16_71_e104	noch günstiger als im letzten Berichtsjahre herausgestellt haben . Die	Absenzenordnung	ist im Ganzen genommen von Lehrern und Schul¬ hflegen pünktlich	noch_ADV günstiger_ADJD als_KOKOM im_APPRART letzten_ADJA Berichtsjahre_NN herausgestellt_VVPP haben_VAFIN ._$. Die_ART	Absenzenordnung_NN	ist_VAFIN im_APPRART Ganzen_NN genommen_VVPP von_APPR Lehrern_NN und_KON Schul¬_NN hflegen_NN pünktlich_ADJD	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hempt636ouw&batch=16	1204252	1204252
18	syn_001_1860_000_16_71_e104	Es gibt sogar einzelne Schulen , wo gar keine strafbaren	Absenzen	vorkommen . Viele Schulpflegen fanden sich weder zu Strafen noch	Es_PPER gibt_VVFIN sogar_ADV einzelne_ADJA Schulen_NN ,_$, wo_PWAV gar_ADV keine_PIAT strafbaren_ADJA	Absenzen_NN	vorkommen_VVINF ._$. Viele_PIAT Schulpflegen_NN fanden_VVFIN sich_PRF weder_KON zu_APPR Strafen_NN noch_ADV	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hempt636ouw&batch=17	1204296	1204296
19	syn_001_1860_000_16_71_e104	diesem Gebiete erwuchsen . In den Dreißigerjahren waren um der	Absenzen	willen allein oft 16 bis 20 Sitzungen im Jahre erforderlich	diesem_PDAT Gebiete_NN erwuchsen_VVFIN ._$. In_APPR den_ART Dreißigerjahren_NN waren_VAFIN um_APPR der_ART	Absenzen_NN	willen_APPO allein_ADV oft_ADV 16_CARD bis_KON 20_CARD Sitzungen_NN im_APPRART Jahre_NN erforderlich_ADJD	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hempt636ouw&batch=18	1204369	1204369
20	syn_001_1860_000_16_71_e104	aus folgender k Uebersicht der Schulversäumnisse . E S kommen	Absenzen	auf den Schüler Im Bezirk der Alltagsschule . der Nepetir-	aus_APPR folgender_ADJA k_ADJA Uebersicht_NN der_ART Schulversäumnisse_NN ._$. E_NN S_NN kommen_VVFIN	Absenzen_NN	auf_APPR den_ART Schüler_NN Im_APPRART Bezirk_NN der_ART Alltagsschule_NN ._$. der_ART Nepetir-_TRUNC	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hempt636ouw&batch=19	1204445	1204445
21	syn_001_1860_000_16_71_e104	fleißigem Schulbesuche anhalten , wie denn auch die Zahl der	Absenzen	sich bereits auf ein Minimum reduzirt hat . Einzelne Schulgenossenschaflen	fleißigem_ADJA Schulbesuche_NN anhalten_VVINF ,_$, wie_KOUS denn_ADV auch_ADV die_ART Zahl_NN der_ART	Absenzen_NN	sich_PRF bereits_ADV auf_APPR ein_ART Minimum_NN reduzirt_NN hat_VAFIN ._$. Einzelne_ADJA Schulgenossenschaflen_NN	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hempt636ouw&batch=20	1211781	1211781
22	syn_001_1860_000_16_71_e104	und Anschaffung von Lehrmitteln , Ueberwachung der Disziplin und der	Absenzen	, Aeufnung der Güter und Wahl der Lehrer haben sie	und_KON Anschaffung_NN von_APPR Lehrmitteln_NN ,_$, Ueberwachung_NN der_ART Disziplin_NN und_KON der_ART	Absenzen_NN	,_$, Aeufnung_NN der_ART Güter_NN und_KON Wahl_NN der_ART Lehrer_NN haben_VAFIN sie_PPER	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hempt636ouw&batch=21	1212360	1212360
23	syn_001_1860_000_16_71_e104	der Haupt- und Nebenfächer , Handhabung der Disziplin und der	Absenzenordnung	und namentlich in Absicht auf ihre Leistungen , die intellektuelle	der_ART Haupt-_TRUNC und_KON Nebenfächer_NN ,_$, Handhabung_NN der_ART Disziplin_NN und_KON der_ART	Absenzenordnung_NN	und_KON namentlich_ADJD in_APPR Absicht_NN auf_APPR ihre_PPOSAT Leistungen_NN ,_$, die_ART intellektuelle_ADJA	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hempt636ouw&batch=22	1213057	1213057
24	syn_001_1860_000_16_71_e104	, obwol im Einzelnen bezüglich der Schulbesuche und Handhabung der	Absenzenordnung	noch mehr hätte geleistet werden können und sollen . Bei	,_$, obwol_NN im_APPRART Einzelnen_NN bezüglich_APPR der_ART Schulbesuche_NN und_KON Handhabung_NN der_ART	Absenzenordnung_NN	noch_ADV mehr_ADV hätte_VAFIN geleistet_VVPP werden_VAINF können_VMFIN und_KON sollen_VMFIN ._$. Bei_APPR	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hempt636ouw&batch=23	1215630	1215630
25	apm_001_1838_014_7_21_e287	Laufe der neuesten drei Monate zusam- inen drei nicht entschuldigte	Absenzen	. Dieser Fortschritt ist aber nicht auf einmal , sondern	Laufe_NN der_ART neuesten_ADJA drei_CARD Monate_NN zusam-_TRUNC inen_VVFIN drei_CARD nicht_PTKNEG entschuldigte_ADJA	Absenzen_NN	._$. Dieser_PDAT Fortschritt_NN ist_VAFIN aber_ADV nicht_PTKNEG auf_APPR einmal_ADV ,_$, sondern_KON	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hempt636ouw&batch=24	1322285	1322285
26	apm_001_1838_014_7_21_e287	schon nach der zweiten nicht mit erheblichen Grün- den begleiteten	Absenz	der Vater , oder Dienstherr des betreffen- den Schülers schriftlich	schon_ADV nach_APPR der_ART zweiten_ADJA nicht_PTKNEG mit_APPR erheblichen_ADJA Grün-_TRUNC den_ART begleiteten_ADJA	Absenz_NN	der_ART Vater_NN ,_$, oder_KON Dienstherr_NN des_ART betreffen-_TRUNC den_ART Schülers_NN schriftlich_ADJD	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hempt636ouw&batch=25	1322729	1322729
27	ass_001_1841_007_321_332_e677	beibehält . In dieses Buch fällt auch das Verzeichniß der	Absenzen	. 2 ) Ein Hilfs¬ protokoll für jedes Lehrfach ,	beibehält_VVFIN ._$. In_APPR dieses_PDAT Buch_NN fällt_VVFIN auch_ADV das_ART Verzeichniß_NN der_ART	Absenzen_NN	._$. 2_CARD )_$( Ein_ART Hilfs¬_ADJA protokoll_NN für_APPR jedes_PIAT Lehrfach_NN ,_$,	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hempt636ouw&batch=26	1512600	1512600
28	ass_001_1835_001_64_96_e242	die neueste Zeit den Unterrichtsstoff bedeutend vermehrt hat , die	Versäumniß	derselben aber kaum jemals wieder nach , geholt werden kann	die_ART neueste_ADJA Zeit_NN den_ART Unterrichtsstoff_NN bedeutend_ADJD vermehrt_VVPP hat_VAFIN ,_$, die_ART	Versäumniß_NN	derselben_PDAT aber_ADV kaum_ADV jemals_ADV wieder_ADV nach_PTKVZ ,_$, geholt_VVPP werden_VAINF kann_VMFIN	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hempt636ouw&batch=27	1649929	1649929
29	slz_002_1866_011_361_368_e48	zu fördern . Nach den amt- lichen Angaben sind strafbare	Absenzen	so selten , daß durchschnittlich kaum eine einzige auf den	zu_PTKZU fördern_VVINF ._$. Nach_APPR den_ART amt-_TRUNC lichen_ADJA Angaben_NN sind_VAFIN strafbare_ADJA	Absenzen_NN	so_ADV selten_ADJD ,_$, daß_KOUS durchschnittlich_ADJD kaum_ADV eine_ART einzige_ADJA auf_APPR den_ART	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hempt636ouw&batch=28	1899325	1899325
30	slz_002_1866_011_361_368_e48	ergiebt sich aus der statistischen Tabelle , daß der verantworteten	Absenzen	67,734 , der strafbaren 3354 , also im ganzen der	ergiebt_VVFIN sich_PRF aus_APPR der_ART statistischen_ADJA Tabelle_NN ,_$, daß_KOUS der_ART verantworteten_ADJA	Absenzen_NN	67,734_CARD ,_$, der_ART strafbaren_ADJA 3354_CARD ,_$, also_ADV im_APPRART ganzen_ADJA der_ART	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hempt636ouw&batch=29	1899400	1899400
31	slz_002_1866_011_361_368_e48	67,734 , der strafbaren 3354 , also im ganzen der	Absenzen	70,978 weniger waren als im Jahre zuvor : ferner daß	67,734_CARD ,_$, der_ART strafbaren_ADJA 3354_CARD ,_$, also_ADV im_APPRART ganzen_ADJA der_ART	Absenzen_NN	70,978_CARD weniger_ADV waren_VAFIN als_KOKOM im_APPRART Jahre_NN zuvor_PTKVZ :_$. ferner_ADJD daß_KOUS	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hempt636ouw&batch=30	1899411	1899411
32	slz_002_1866_011_361_368_e48	, d. h , entweder gar keine oder höchstens 11	Absenzen	gemacht , somit die Schule im ganzen Jahre nur an	,_$, d._ART h_NN ,_$, entweder_KON gar_ADV keine_PIAT oder_KON höchstens_ADV 11_CARD	Absenzen_NN	gemacht_VVPP ,_$, somit_ADV die_ART Schule_NN im_APPRART ganzen_ADJA Jahre_NN nur_ADV an_APPR	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hempt636ouw&batch=31	1899443	1899443
33	slz_002_1866_011_361_368_e48	an S'/z Tagen versäumt haben , daß 5330 Schüler 13—23	Absenzen	machten , also die Schule im ganzen 6—11 Tage versäumten	an_APPR S'/z_NE Tagen_NN versäumt_VVPP haben_VAFIN ,_$, daß_KOUS 5330_CARD Schüler_NN 13—23_ADJA	Absenzen_NN	machten_VVFIN ,_$, also_ADV die_ART Schule_NN im_APPRART ganzen_ADJA 6—11_ADJA Tage_NN versäumten_VVFIN	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hempt636ouw&batch=32	1899463	1899463
34	slz_002_1866_011_361_368_e48	ganzen 6—11 Tage versäumten , daß 3160 Schüler mit 23—44	Absenzen	und 1113 Schüler mit 45 und mehr ver- zeichnet sind	ganzen_ADJA 6—11_ADJA Tage_NN versäumten_VVFIN ,_$, daß_KOUS 3160_CARD Schüler_NN mit_APPR 23—44_ADJA	Absenzen_NN	und_KON 1113_CARD Schüler_NN mit_APPR 45_CARD und_KON mehr_PIAT ver-_TRUNC zeichnet_VVFIN sind_VAFIN	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hempt636ouw&batch=33	1899480	1899480
35	slz_002_1866_011_361_368_e48	Singschule . Wenn man aber bedenkt , daß in diesen	Absenzen	die entschuldigten , also die durch Krankheiten und andere unvermeidliche	Singschule_NN ._$. Wenn_KOUS man_PIS aber_ADV bedenkt_VVFIN ,_$, daß_KOUS in_APPR diesen_PDAT	Absenzen_NN	die_ART entschuldigten_ADJA ,_$, also_ADV die_ART durch_APPR Krankheiten_NN und_KON andere_PIS unvermeidliche_ADJA	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hempt636ouw&batch=34	1899566	1899566
36	slz_002_1866_011_361_368_e48	. Von vielen Seiten wird berichtet , die Handhabung der	Absenzenordnung	biete gar keine Schwierigkeiten mehr ; viele Schulpflegen kamen gar	._$. Von_APPR vielen_PIAT Seiten_NN wird_VAFIN berichtet_VVPP ,_$, die_ART Handhabung_NN der_ART	Absenzenordnung_NN	biete_VVFIN gar_ADV keine_PIAT Schwierigkeiten_NN mehr_ADV ;_$. viele_PIAT Schulpflegen_NN kamen_VVFIN gar_ADV	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hempt636ouw&batch=35	1899650	1899650
37	slz_002_1864_009_193_196_e51	und mehr , ja 23 , 27 , 31 unentschuldigte	Absenzen	( und noch mehr entschuldigte** ) durchschnittlich auf das Kind	und_KON mehr_ADV ,_$, ja_ADV 23_CARD ,_$, 27_CARD ,_$, 31_CARD unentschuldigte_ADJA	Absenzen_NN	(_$( und_KON noch_ADV mehr_ADV entschuldigte**_ADJD )_$( durchschnittlich_ADJD auf_APPR das_ART Kind_NN	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hempt636ouw&batch=36	2040481	2040481
38	slz_002_1864_009_193_196_e51	Schule Nr. 31 etwa ' /« der Kinder wegen übermäßiger	Absenzen	* ) We wirksame Verbesserung muß damit beginnen , daß	Schule_NN Nr._NN 31_CARD etwa_ADV '_$( /«_NN der_ART Kinder_NN wegen_APPR übermäßiger_ADJA	Absenzen_NN	*_XY )_$( We_ADJA wirksame_ADJA Verbesserung_NN muß_VMFIN damit_PAV beginnen_VVINF ,_$, daß_KOUS	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hempt636ouw&batch=37	2040762	2040762
39	slz_002_1864_009_193_196_e51	Im Ganzen solcher 24,803 , als » zusammen 47,000 uotirte	Absenzen	auf 20 t 2 Schulkinder . E« gibt aber im	Im_APPRART Ganzen_NN solcher_PIAT 24,803_CARD ,_$, als_KOUS »_$( zusammen_ADV 47,000_CARD uotirte_NN	Absenzen_NN	auf_APPR 20_CARD t_NN 2_CARD Schulkinder_NN ._$. E«_ADJD gibt_VVFIN aber_ADV im_APPRART	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hempt636ouw&batch=38	2040797	2040797
40	slz_002_1864_009_193_196_e51	und zwar 182,537 entschuldigte* ) und 132,141 unentschuldigte : l0'/z	Absenzen	durchschnittlich auf ein Schulkind . Aber auf Seite 5 des	und_KON zwar_ADV 182,537_CARD entschuldigte*_ADJA )_$( und_KON 132,141_CARD unentschuldigte_ADJA :_$. l0'/z_NN	Absenzen_NN	durchschnittlich_ADJD auf_APPR ein_ART Schulkind_NN ._$. Aber_KON auf_APPR Seite_NN 5_CARD des_ART	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hempt636ouw&batch=39	2040922	2040922
41	slz_002_1864_009_193_196_e51	5 des Berichtes ist zu lesen , daß die straffälligen	Absenzen	je in mehreren Ortschaften verschiedener Bezirke auf 13 , 14	5_CARD des_ART Berichtes_NN ist_VAFIN zu_PTKZU lesen_VVINF ,_$, daß_KOUS die_ART straffälligen_ADJA	Absenzen_NN	je_ADV in_APPR mehreren_PIAT Ortschaften_NN verschiedener_ADJA Bezirke_NN auf_APPR 13_CARD ,_$, 14_CARD	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hempt636ouw&batch=40	2040941	2040941
42	slz_002_1864_009_193_196_e51	Berechnung kommen . Auch der zürcherische Bericht , der die	Absenzensumme	der Bezirke und des Kantons zusammenfaßt , gjhj keine Auskunst	Berechnung_NN kommen_VVINF ._$. Auch_ADV der_ART zürcherische_ADJA Bericht_NN ,_$, der_PRELS die_ART	Absenzensumme_NN	der_ART Bezirke_NN und_KON des_ART Kantons_NN zusammenfaßt_VVFIN ,_$, gjhj_VVFIN keine_PIAT Auskunst_NN	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hempt636ouw&batch=41	2041112	2041112
43	slz_002_1864_009_193_196_e51	ungerecht gleichmäßig auf alle Schulorte vertheilt ; v ) die	Absenzen	der einzelnen unfleißigen Schüler auch den fleißig- sten theilweise zur	ungerecht_ADJD gleichmäßig_ADJD auf_APPR alle_PIAT Schulorte_NN vertheilt_VVFIN ;_$. v_NE )_$( die_ART	Absenzen_NN	der_ART einzelnen_ADJA unfleißigen_ADJA Schüler_NN auch_ADV den_ART fleißig-_TRUNC sten_VVFIN theilweise_ADJD zur_APPRART	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hempt636ouw&batch=42	2041236	2041236
44	slz_002_1864_009_193_196_e51	Kanton Zürich sind pro 1802/03 im Ganze« 09,033 „ strafbare*	Absenzen	bezeichnet , im K. Aargau 182,537 „ unentschuldigte " .	Kanton_NN Zürich_NE sind_VAFIN pro_APPR 1802/03_CARD im_APPRART Ganze«_NN 09,033_CARD „_$( strafbare*_ADJA	Absenzen_NN	bezeichnet_VVPP ,_$, im_APPRART K._NE Aargau_NN 182,537_CARD „_$( unentschuldigte_ADJA "_$( ._$.	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hempt636ouw&batch=43	2041357	2041357
45	ass_001_1838_004_357_360_e808	so lange sie nicht beeidigt waren , stunden mit ihren	Absenzenberichten	, Zeugnissen : c- in einem für sie selbst besonders	so_ADV lange_ADV sie_PPER nicht_PTKNEG beeidigt_ADJD waren_VAFIN ,_$, stunden_VVFIN mit_APPR ihren_PPOSAT	Absenzenberichten_NN	,_$, Zeugnissen_NN :_$. c-_TRUNC in_APPR einem_ART für_APPR sie_PPER selbst_ADV besonders_ADV	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hempt636ouw&batch=44	2186466	2186466
46	slz_002_1864_009_113_116_e31	: denn eine Anzahl der Kinder macht fast gar keine	Absenzen	, eine andere Anzahl , besonders in den Oberklassen ,	:_$. denn_KON eine_ART Anzahl_NN der_ART Kinder_NN macht_VVFIN fast_ADV gar_ADV keine_PIAT	Absenzen_NN	,_$, eine_ART andere_PIAT Anzahl_NN ,_$, besonders_ADV in_APPR den_ART Oberklassen_NN ,_$,	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hempt636ouw&batch=45	2202295	2202295
