Number of hit	Text ID	Context before	Query item	Context after	Tagged context before	Tagged query item	Tagged context after	URL	Matchbegin corpus position	Matchend corpus position
28	skz_004_1865_000_372_381_e487	ihn mit der Führung der Civilregister , Mili- tärrodcl ,	statistischen	Formulare u. dgl. ; man muthet ihm zu , bei	ihn_PPER mit_APPR der_ART Führung_NN der_ART Civilregister_NN ,_$, Mili-_NE tärrodcl_NE ,_$,	statistischen_ADJA	Formulare_NN u._KON dgl._ADV ;_$. man_PIS muthet_VVFIN ihm_PPER zu_PTKVZ ,_$, bei_APPR	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hed89oy9x4g&batch=27	656180	656180
29	bmb_001_1850_001_140_142_e306	verschied cnen Landesgegenden mehr Einsendungen zu erhalten und zwar besonders	statistische	Notizen aus allen Bereichen der Volkswirthschaft ; die genaue Kenntniß	verschied_VVFIN cnen_NN Landesgegenden_NN mehr_PIAT Einsendungen_NN zu_PTKZU erhalten_VVINF und_KON zwar_ADV besonders_ADV	statistische_ADJA	Notizen_NN aus_APPR allen_PIAT Bereichen_NN der_ART Volkswirthschaft_NN ;_$. die_ART genaue_ADJA Kenntniß_NN	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hed89oy9x4g&batch=28	671841	671841
30	bmb_001_1869_020_106_110_e253	besonderer Berücksichtigung des Zeitraums von 1852 bis Ende 1868 ein	statistisch	geschichtlicher Bericht von Kantonsforstinspektor Coaz an den Großen Rath abgegeben	besonderer_ADJA Berücksichtigung_NN des_ART Zeitraums_NN von_APPR 1852_CARD bis_APPR Ende_NN 1868_CARD ein_ART	statistisch_ADJD	geschichtlicher_ADJA Bericht_NN von_APPR Kantonsforstinspektor_NN Coaz_NE an_APPR den_ART Großen_NN Rath_NE abgegeben_VVPP	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hed89oy9x4g&batch=29	694601	694601
31	bmb_001_1869_020_106_110_e253	Forstverwaltnng noch lange zu arbeiten haben , bis sie die	Forststatistik	vollständig zu erstellen im Falle sein wird . Wir fragen	Forstverwaltnng_NE noch_ADV lange_ADV zu_PTKZU arbeiten_VVINF haben_VAFIN ,_$, bis_KOUS sie_PPER die_ART	Forststatistik_NN	vollständig_ADJD zu_PTKZU erstellen_VVINF im_APPRART Falle_NN sein_VAINF wird_VAFIN ._$. Wir_PPER fragen_VVFIN	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hed89oy9x4g&batch=30	696015	696015
32	slz_002_1867_012_283_290_e38	dem zweiten Dezennium unsers Jahrhunderts . Den Schluß bildet der	statistische	Theil , welcher wie der historische bis zum Jahr 186k	dem_ART zweiten_ADJA Dezennium_NN unsers_PPOSAT Jahrhunderts_NN ._$. Den_ART Schluß_NN bildet_VVFIN der_ART	statistische_ADJA	Theil_NN ,_$, welcher_PRELS wie_KOKOM der_ART historische_ADJA bis_APPR zum_APPRART Jahr_NN 186k_NN	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hed89oy9x4g&batch=31	698330	698330
33	slz_002_1867_012_283_290_e38	die Gegenwart zu schreiben . Von besonderem Interesse ist der	statistische	Theil . Wir entnehmen demselben folgende sprechende An- gaben .	die_ART Gegenwart_NN zu_PTKZU schreiben_VVINF ._$. Von_APPR besonderem_ADJA Interesse_NN ist_VAFIN der_ART	statistische_ADJA	Theil_NN ._$. Wir_PPER entnehmen_VVFIN demselben_PDAT folgende_ADJA sprechende_ADJA An-_TRUNC gaben_VVFIN ._$.	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hed89oy9x4g&batch=32	698496	698496
34	slz_002_1867_012_283_290_e38	die Lehrerinnenprüfung vorbereiten , ein Ver- zeichniß literarischer Hülfsmittel ,	statistische	Mit- theilungen und Aufsätze über „ deutsche Erzieherinnen in England	die_ART Lehrerinnenprüfung_NN vorbereiten_VVFIN ,_$, ein_ART Ver-_TRUNC zeichniß_NN literarischer_ADJA Hülfsmittel_NN ,_$,	statistische_ADJA	Mit-_TRUNC theilungen_NN und_KON Aufsätze_NN über_APPR „_$( deutsche_ADJA Erzieherinnen_NN in_APPR England_NE	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hed89oy9x4g&batch=33	698919	698919
35	slz_002_1862_007_5_8_e4	Arbeiten Fr. Jedes Heft ist einzeln zu haben . 25	Wandtabellcn	( Format 16—22 " ) Fr. Dieselben beidseitig auf 13	Arbeiten_NN Fr._NN Jedes_PIAT Heft_NN ist_VAFIN einzeln_ADJD zu_PTKZU haben_VAINF ._$. 25_CARD	Wandtabellcn_NN	(_$( Format_NN 16—22_VVFIN "_$( )_$( Fr._NN Dieselben_NN beidseitig_ADJD auf_APPR 13_CARD	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hed89oy9x4g&batch=34	736498	736498
36	slz_002_1869_014_269_276_e36	, Grundzüge einer Geschichte des Bilder- räthsels . Küvuer ,	statistische	Tafel aller Länder der Erde 1869. 70 Cts . Kufekaud	,_$, Grundzüge_NN einer_ART Geschichte_NN des_ART Bilder-_TRUNC räthsels_NN ._$. Küvuer_ADJA ,_$,	statistische_ADJA	Tafel_NN aller_PIAT Länder_NN der_ART Erde_NN 1869._ADJA 70_CARD Cts_NN ._$. Kufekaud_NE	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hed89oy9x4g&batch=35	759794	759794
37	skb_004_1863_000_77_119_e563	Ganzen ein erfreulicher gewesen zn fein . Nach den dcm	statistischen	Bürean zugegangenen Spezialtabellen war die Mortalität eiue mittlere . Ueber	Ganzen_NN ein_ART erfreulicher_ADJA gewesen_VAPP zn_NE fein_ADJD ._$. Nach_APPR den_ART dcm_NE	statistischen_ADJA	Bürean_NN zugegangenen_ADJA Spezialtabellen_NN war_VAFIN die_ART Mortalität_NN eiue_NE mittlere_ADJA ._$. Ueber_NN	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hed89oy9x4g&batch=36	763834	763834
38	skb_004_1863_000_77_119_e563	gewesen zn fein . Nach den dcm statistischen Bürean zugegangenen	Spezialtabellen	war die Mortalität eiue mittlere . Ueber ansteckende uud epidemische	gewesen_VAPP zn_NE fein_ADJD ._$. Nach_APPR den_ART dcm_NE statistischen_ADJA Bürean_NN zugegangenen_ADJA	Spezialtabellen_NN	war_VAFIN die_ART Mortalität_NN eiue_NE mittlere_ADJA ._$. Ueber_NN ansteckende_ADJA uud_NN epidemische_ADJA	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hed89oy9x4g&batch=37	763837	763837
39	skb_004_1863_000_77_119_e563	Direktion des Innern , Abtheilung Gesundheitswesen . Tabelle III. )	Generaltabelle	des äußern Krankenhauses pro Zuwachs . Abgang . Summa dcr	Direktion_NN des_ART Innern_NN ,_$, Abtheilung_NN Gesundheitswesen_NN ._$. Tabelle_NN III._NN )_$(	Generaltabelle_NN	des_ART äußern_VVFIN Krankenhauses_NN pro_APPR Zuwachs_NN ._$. Abgang_NN ._$. Summa_NE dcr_NE	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hed89oy9x4g&batch=38	770428	770428
40	slz_002_1864_009_169_172_e45	30 ) . Der Jahresbericht für 1803 gibt in einer	tabellarischen	Uebersicht folgende Aufschlüsse : Das Besoldungsminimum mit 500 Fr. beziehen	30_CARD )_$( ._$. Der_ART Jahresbericht_NN für_APPR 1803_CARD gibt_VVFIN in_APPR einer_ART	tabellarischen_ADJA	Uebersicht_NN folgende_ADJA Aufschlüsse_NN :_$. Das_ART Besoldungsminimum_NN mit_APPR 500_CARD Fr._NN beziehen_VVFIN	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hed89oy9x4g&batch=39	806832	806832
41	slz_002_1864_009_169_172_e45	ein ordentlicher Staatsbeitrag von 36,749 Fr. Derselbe Bericht zeigt in	tabellarischer	Uebersicht , daß 984 Lehr- stellen die vollständigen Naturalleistungen «	ein_ART ordentlicher_ADJA Staatsbeitrag_NN von_APPR 36,749_CARD Fr._NN Derselbe_NE Bericht_NN zeigt_VVFIN in_APPR	tabellarischer_ADJA	Uebersicht_NN ,_$, daß_KOUS 984_CARD Lehr-_TRUNC stellen_VVFIN die_ART vollständigen_ADJA Naturalleistungen_NN «_$(	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hed89oy9x4g&batch=40	808182	808182
42	dsr_003_1801_004_611_612_e1572	Zürich . Von der Hüllst gesellschaft in Zürich . Mit	tabellarischen	Mustern . ( S. - ; 6 — 75 )	Zürich_NE ._$. Von_APPR der_ART Hüllst_ADJA gesellschaft_NN in_APPR Zürich_NE ._$. Mit_APPR	tabellarischen_ADJA	Mustern_NN ._$. (_$( S._NE -_$( ;_$. 6_CARD —_NN 75_CARD )_$(	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hed89oy9x4g&batch=41	832991	832991
43	btb_001_1853_002_199_330_e353	univ . Vol. XIII. 254—55 . Andre essai sur la	statistique	du C. de Berne . 1828. p. 206—207 . Son	univ_ADJD ._$. Vol._NE XIII._NE 254—55_NN ._$. Andre_NE essai_NE sur_NN la_FM	statistique_VVFIN	du_PPER C._NE de_NE Berne_NN ._$. 1828._ADJA p._APPR 206—207_NN ._$. Son_NE	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hed89oy9x4g&batch=42	893197	893197
44	btb_001_1853_002_199_330_e353	( »on Ufieri ) Andre , essai etc. sur la	statistique	du C. de Berne . 1828. p. 207—208 . Sillier	(_$( »on_NN Ufieri_NN )_$( Andre_NE ,_$, essai_ADJD etc._ADV sur_NN la_FM	statistique_VVFIN	du_PPER C._NE de_NE Berne_NN ._$. 1828._ADJA p._APPR 207—208_NN ._$. Sillier_NE	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hed89oy9x4g&batch=43	893347	893347
45	btb_001_1853_002_199_330_e353	. „ fafler . " Andre , essai sur la	statist	. du C. de Berne . 1828. Paris et Gen	._$. „_$( fafler_NN ._$. "_$( Andre_NE ,_$, essai_ADJA sur_NN la_FM	statist_VVINF	._$. du_PPER C._NE de_NE Berne_NN ._$. 1828._ADJA Paris_NE et_FM Gen_NN	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hed89oy9x4g&batch=44	907750	907750
46	btb_001_1853_002_199_330_e353	. 1827. p. 223-24 . Andre , essai sur la	statistique	du canton de Berne . 1828. p. 209-10 . Kagler	._$. 1827._ADJA p._APPR 223-24_CARD ._$. Andre_NE ,_$, essai_ADJA sur_NN la_FM	statistique_VVFIN	du_PPER canton_NE de_NE Berne_NN ._$. 1828._ADJA p._APPR 209-10_CARD ._$. Kagler_NE	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hed89oy9x4g&batch=45	930996	930996
