Number of hit	Text ID	Context before	Query item	Context after	Tagged context before	Tagged query item	Tagged context after	URL	Matchbegin corpus position	Matchend corpus position
19	btb_001_1858_007_81_137_e301	zu St. Gallen über das sechste Gebot ( nach res.	Zählung	) und die christliche Liebe , wobei er u. A.	zu_APPR St._NE Gallen_NN über_APPR das_ART sechste_ADJA Gebot_NN (_$( nach_APPR res._ADJA	Zählung_NN	)_$( und_KON die_ART christliche_ADJA Liebe_NN ,_$, wobei_PWAV er_PPER u._APPR A._NE	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepnhvg9hil&batch=18	2719559	2719559
20	skz_001_1838_007_56_63_e66	katholisch geblieben , und die Einwohner theilen sich nach einer	Zählung	vom I. 1837 in denselben also ab : Echallens zählt	katholisch_ADJD geblieben_VVPP ,_$, und_KON die_ART Einwohner_NN theilen_VVFIN sich_PRF nach_APPR einer_ART	Zählung_NN	vom_APPRART I._NE 1837_CARD in_APPR denselben_PDAT also_ADV ab_PTKVZ :_$. Echallens_NN zählt_VVFIN	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepnhvg9hil&batch=19	2995448	2995448
21	bmb_001_1853_004_134_143_e352	daS Jahr begann mit dem Monat März und nach dieser	Zählung	waren September , Oktober , November und Dezember wirklich der	daS_ADJA Jahr_NN begann_VVFIN mit_APPR dem_ART Monat_NN März_NN und_KON nach_APPR dieser_PDAT	Zählung_NN	waren_VAFIN September_NN ,_$, Oktober_NN ,_$, November_NN und_KON Dezember_NN wirklich_ADJD der_ART	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepnhvg9hil&batch=20	3027472	3027472
22	dns_002_1808_004_210_242_e443	3000 Schaft . * ) Nach der letzten sehr genauen	Zählung	der Einwohner und des Viehes in den vcnetianifcken Staaten vom	3000_CARD Schaft_NN ._$. *_XY )_$( Nach_APPR der_ART letzten_ADJA sehr_ADV genauen_ADJA	Zählung_NN	der_ART Einwohner_NN und_KON des_ART Viehes_NN in_APPR den_ART vcnetianifcken_NN Staaten_NN vom_APPRART	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepnhvg9hil&batch=21	3218898	3218898
23	dns_002_1808_004_210_242_e443	, wobe » es sich freylich fragt : ob die	Zählung	auch die wandernden enthält ? ' - Also betrüge hicr	,_$, wobe_NN »_$( es_PPER sich_PRF freylich_ADJD fragt_VVFIN :_$. ob_KOUS die_ART	Zählung_NN	auch_ADV die_ART wandernden_ADJA enthält_VVFIN ?_$. '_$( -_$( Also_ADV betrüge_VVFIN hicr_NE	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepnhvg9hil&batch=22	3218944	3218944
24	skz_004_1861_000_59_62_e76	Folge der Auswanderung ) vermindert hat . Nach der Volks-	zählung	von 1850 bekannten sich zur katholischen Confession 64,576 , zur	Folge_NN der_ART Auswanderung_NN )_$( vermindert_VVPP hat_VAFIN ._$. Nach_APPR der_ART Volks-_TRUNC	zählung_NN	von_APPR 1850_CARD bekannten_VVFIN sich_PRF zur_APPRART katholischen_ADJA Confession_NN 64,576_CARD ,_$, zur_APPRART	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepnhvg9hil&batch=23	3474628	3474628
25	skz_001_1834_003_101_108_e117	ben , sondern das Gesagte steht bloS als geschichtliche Er-	zählung	jener Aeußerungen da , die von so vielen Seiten vernommen	ben_VVFIN ,_$, sondern_KON das_ART Gesagte_NN steht_VVFIN bloS_ADJD als_KOKOM geschichtliche_ADJA Er-_TRUNC	zählung_NN	jener_PDAT Aeußerungen_NN da_PTKVZ ,_$, die_PRELS von_APPR so_ADV vielen_PIAT Seiten_NN vernommen_VVPP	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepnhvg9hil&batch=24	3597599	3597599
26	skb_004_1866_000_358_384_e668	festgestellten Schema's zu sorgen hatten , und die durch diese	Zählung	veranlaßten Auslagen mit einem Rappen per Stück Vieh aus der	festgestellten_ADJA Schema's_NN zu_PTKZU sorgen_VVINF hatten_VAFIN ,_$, und_KON die_ART durch_APPR diese_PDAT	Zählung_NN	veranlaßten_ADJA Auslagen_NN mit_APPR einem_ART Rappen_NN per_APPR Stück_NN Vieh_NN aus_APPR der_ART	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepnhvg9hil&batch=25	3603552	3603552
27	skb_004_1866_000_358_384_e668	07 nach sich zog . Exemplare des vom Gefammtergebniß dieser	Zählung	veranstal¬ teten Separatabdruckes , enthaltend den Kanton Bern , wurden	07_CARD nach_APPR sich_PRF zog_VVFIN ._$. Exemplare_NN des_ART vom_APPRART Gefammtergebniß_NN dieser_PDAT	Zählung_NN	veranstal¬_ADJA teten_ADJA Separatabdruckes_NN ,_$, enthaltend_ADJD den_ART Kanton_NN Bern_NE ,_$, wurden_VAFIN	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepnhvg9hil&batch=26	3603583	3603583
28	skb_004_1866_000_358_384_e668	Kantons Bern hatte den Wunsch ausgedrückt , es möchte fragliche	Zählung	um 2 Jahre verschoben und damit alsdann auch eine Bienenstatistik	Kantons_NN Bern_NE hatte_VAFIN den_ART Wunsch_NN ausgedrückt_VVPP ,_$, es_PPER möchte_VMFIN fragliche_ADJA	Zählung_NN	um_APPR 2_CARD Jahre_NN verschoben_VVPP und_KON damit_PAV alsdann_VVFIN auch_ADV eine_ART Bienenstatistik_NN	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepnhvg9hil&batch=27	3603629	3603629
29	dns_002_1812_007_213_262_e466	und im ganzen Tkal , o84** ) . Nach der	Zählung	von iöz2 hätte U. Porta damals i so Waffenfähige gehabt	und_KON im_APPRART ganzen_ADJA Tkal_NN ,_$, o84**_ADJD )_$( ._$. Nach_APPR der_ART	Zählung_NN	von_APPR iöz2_ADJA hätte_VAFIN U._APPR Porta_NN damals_ADV i_VVFIN so_ADV Waffenfähige_NN gehabt_VAPP	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepnhvg9hil&batch=28	4012210	4012210
30	bsf_001_1866_006_52_57_e31	M er op is bei Aelian wieder , einer Er-	zählung	von moralischer Tendenz unter kosmogonisehen Formen , die eine große	M_NE er_PPER op_ADJA is_NN bei_APPR Aelian_NE wieder_ADV ,_$, einer_ART Er-_TRUNC	zählung_NN	von_APPR moralischer_ADJA Tendenz_NN unter_APPR kosmogonisehen_ADJA Formen_NN ,_$, die_PRELS eine_ART große_ADJA	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepnhvg9hil&batch=29	4048658	4048658
31	skb_004_1867_000_497_522_e667	einzusenden . Die Gesammtzahl der Hunde betrug zur Zeit der	Zählung	12689. Für 1136« davon war die Taxe bezahlt , für	einzusenden_VVIZU ._$. Die_ART Gesammtzahl_NN der_ART Hunde_NN betrug_VVFIN zur_APPRART Zeit_NN der_ART	Zählung_NN	12689._ADJA Für_APPR 1136«_ADJA davon_PAV war_VAFIN die_ART Taxe_NN bezahlt_VVPP ,_$, für_APPR	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepnhvg9hil&batch=30	4211530	4211530
32	skz_001_1843_012_168_175_e449	. ( A. Z. ) Nordamerika . Nach einer neuesten	Zählung	soll es in Vereinsstaaten N. A. nicht mehr und nickt	._$. (_$( A._NE Z._NE )_$( Nordamerika_NE ._$. Nach_APPR einer_ART neuesten_ADJA	Zählung_NN	soll_VMFIN es_PPER in_APPR Vereinsstaaten_NN N._NE A._NE nicht_PTKNEG mehr_ADV und_KON nickt_VVFIN	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepnhvg9hil&batch=31	4337850	4337850
33	apm_001_1840_016_41_50_e63	Nutznießer der Stöcke . Ihre Zahl belief sich bei der	Zählung	im Spätjahr 1839 auf 299 , von denen 173 in	Nutznießer_NN der_ART Stöcke_NN ._$. Ihre_PPOSAT Zahl_NN belief_VVFIN sich_PRF bei_APPR der_ART	Zählung_NN	im_APPRART Spätjahr_NN 1839_CARD auf_APPR 299_CARD ,_$, von_APPR denen_PRELS 173_CARD in_APPR	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepnhvg9hil&batch=32	4425819	4425819
34	skb_001_1814_000_500_506_e732	wurden . 1818 wurde im Sekretariat der Landsassen-Kommission eine eigene	Zählung	der Bernischen Landsassen vorgenommen , nach welcher dieselben auf 2569	wurden_VAFIN ._$. 1818_CARD wurde_VAFIN im_APPRART Sekretariat_NN der_ART Landsassen-Kommission_NN eine_ART eigene_ADJA	Zählung_NN	der_ART Bernischen_ADJA Landsassen_NN vorgenommen_VVPP ,_$, nach_APPR welcher_PRELS dieselben_PDS auf_APPR 2569_CARD	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepnhvg9hil&batch=33	4547322	4547322
35	slz_002_1869_014_157_164_e22	" Doch wir wollen uns nicht weiter in der Auf-	zählung	einzelner praktischer Winke dieses durch und durch praktischen und deßhalb	"_$( Doch_KON wir_PPER wollen_VMFIN uns_PPER nicht_PTKNEG weiter_ADV in_APPR der_ART Auf-_TRUNC	zählung_NN	einzelner_ADJA praktischer_ADJA Winke_NN dieses_PDAT durch_APPR und_KON durch_APPR praktischen_ADJA und_KON deßhalb_ADJA	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepnhvg9hil&batch=34	4611350	4611350
36	skz_004_1858_000_329_336_e524	" Luzcrn . Laut einer vom Departement des Innern aufgenommenen	Zählung	der seit Erlaß des Bundesgc- setzes über Misch-Eh eu (	"_$( Luzcrn_NE ._$. Laut_APPR einer_ART vom_APPRART Departement_NN des_ART Innern_NN aufgenommenen_ADJA	Zählung_NN	der_ART seit_APPR Erlaß_NN des_ART Bundesgc-_TRUNC setzes_NN über_APPR Misch-Eh_NE eu_ADJA (_$(	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepnhvg9hil&batch=35	4785020	4785020
37	bmb_001_1864_015_165_174_e316	dem mündlichen Vortrage von Seite des Lehrers kann die Er¬	zählung	auch gelesen werden , sofern sie im Lesebuche enthalten ist	dem_ART mündlichen_ADJA Vortrage_NN von_APPR Seite_NN des_ART Lehrers_NN kann_VMFIN die_ART Er¬_ADJA	zählung_NN	auch_ADV gelesen_VVPP werden_VAINF ,_$, sofern_KOUS sie_PPER im_APPRART Lesebuche_NN enthalten_VVPP ist_VAFIN	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepnhvg9hil&batch=36	4973181	4973181
38	skz_001_1841_010_128_135_e446	— sollte dieß eine rechtliche Bekräftigung finden in der Auf-	zählung	der Plackereien , welche von 1803 an , und insbe-	—_NN sollte_VMFIN dieß_ADJD eine_ART rechtliche_ADJA Bekräftigung_NN finden_VVFIN in_APPR der_ART Auf-_TRUNC	zählung_NN	der_ART Plackereien_NN ,_$, welche_PRELS von_APPR 1803_CARD an_APZR ,_$, und_KON insbe-_TRUNC	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepnhvg9hil&batch=37	5482480	5482480
39	skb_001_1814_000_463_475_e729	Verminderung der Zugochsen erzeigt . * ) Vergleicht man die	Zählung	von 1819 mit der letzten von 183« , so ergiebt	Verminderung_NN der_ART Zugochsen_NN erzeigt_VVFIN ._$. *_XY )_$( Vergleicht_NN man_PIS die_ART	Zählung_NN	von_APPR 1819_CARD mit_APPR der_ART letzten_ADJA von_APPR 183«_NN ,_$, so_ADV ergiebt_VVFIN	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepnhvg9hil&batch=38	5500346	5500346
40	skb_001_1814_000_463_475_e729	Tabel« Beilage l , v , l. 1809 wurde eine	Zählung	durch das damalige Kantons-Kommissariat veranstaltet , sie ist aber unvollständig	Tabel«_ADJA Beilage_NN l_NN ,_$, v_NN ,_$, l._NN 1809_CARD wurde_VAFIN eine_ART	Zählung_NN	durch_APPR das_ART damalige_ADJA Kantons-Kommissariat_NN veranstaltet_VVPP ,_$, sie_PPER ist_VAFIN aber_ADV unvollständig_ADJD	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepnhvg9hil&batch=39	5500670	5500670
41	skb_001_1814_000_463_475_e729	Amtsbezirke und Kirchspiele . Vergleichungsweise sind die Er¬ gebnisse der	Zählung	vom August 1831 beigefügt ; sie dürften jedoch nicht überall	Amtsbezirke_NN und_KON Kirchspiele_NN ._$. Vergleichungsweise_ADJD sind_VAFIN die_ART Er¬_ADJA gebnisse_NN der_ART	Zählung_NN	vom_APPRART August_NN 1831_CARD beigefügt_VVPP ;_$. sie_PPER dürften_VMFIN jedoch_ADV nicht_PTKNEG überall_ADV	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepnhvg9hil&batch=40	5500729	5500729
42	skb_004_1866_000_465_492_e671	der Militärdirektion weiter angeordnete Maßnahme von bedeutendem Umfange war die	Zählung	der Kirchen , Wohngebäude , Scheunen , Werkstätten und Stallungen	der_ART Militärdirektion_NN weiter_ADV angeordnete_ADJA Maßnahme_NN von_APPR bedeutendem_ADJA Umfange_NN war_VAFIN die_ART	Zählung_NN	der_ART Kirchen_NN ,_$, Wohngebäude_NN ,_$, Scheunen_NN ,_$, Werkstätten_NN und_KON Stallungen_NN	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepnhvg9hil&batch=41	5518022	5518022
43	gdv_001_1865_004_9_562_e13	( Gesetz vom 12. Mai 1848. ) Z. 85. Die	Zählung	der Stimmen geschieht durch die Stimmenzähler , von denen der	(_$( Gesetz_NN vom_APPRART 12._ADJA Mai_NN 1848._ADJA )_$( Z._NE 85._ADJA Die_ART	Zählung_NN	der_ART Stimmen_NN geschieht_VVFIN durch_APPR die_ART Stimmenzähler_NN ,_$, von_APPR denen_PRELS der_ART	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepnhvg9hil&batch=42	5551822	5551822
44	gdv_001_1865_004_9_562_e13	zählt , und der andere denselben kontrollirt . Nach jeder	Zählung	erklären sie mit lauter Stimme die gefundene Zahl . Bei	zählt_VVFIN ,_$, und_KON der_ART andere_PIS denselben_PDAT kontrollirt_NN ._$. Nach_APPR jeder_PIAT	Zählung_NN	erklären_VVFIN sie_PPER mit_APPR lauter_PIAT Stimme_NN die_ART gefundene_ADJA Zahl_NN ._$. Bei_APPR	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepnhvg9hil&batch=43	5551850	5551850
45	gdv_001_1865_004_9_562_e13	auf das Er¬ gebniß der im Christmonat 1860 vorgenommenen Volks¬	zählung	und auf das Dekret vom 12. März 1863 über die	auf_APPR das_ART Er¬_ADJA gebniß_NN der_ART im_APPRART Christmonat_NN 1860_CARD vorgenommenen_ADJA Volks¬_NN	zählung_NN	und_KON auf_APPR das_ART Dekret_NN vom_APPRART 12._ADJA März_NN 1863_CARD über_APPR die_ART	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepnhvg9hil&batch=44	5649779	5649779
46	gdv_001_1865_004_9_562_e13	, der Unterschrift und eventuell des Textes bei . Die	Zählung	derselben geschieht nach den Re¬ geln des vorhergehenden Artikels .	,_$, der_ART Unterschrift_NN und_KON eventuell_ADJD des_ART Textes_NN bei_PTKVZ ._$. Die_ART	Zählung_NN	derselben_PDS geschieht_VVFIN nach_APPR den_ART Re¬_NN geln_VVFIN des_ART vorhergehenden_ADJA Artikels_NN ._$.	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepnhvg9hil&batch=45	5662164	5662164
47	slz_002_1867_012_259_266_e35	wird durch Legate und freiwillige Geschenke bestritten . Nach neuester	Zählung	sollen sich in Europa 166,000 Taubstumme vorfinden und darunter ver-	wird_VAFIN durch_APPR Legate_NN und_KON freiwillige_ADJA Geschenke_NN bestritten_VVPP ._$. Nach_APPR neuester_ADJA	Zählung_NN	sollen_VMFIN sich_PRF in_APPR Europa_NE 166,000_CARD Taubstumme_NN vorfinden_VVINF und_KON darunter_PAV ver-_TRUNC	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepnhvg9hil&batch=46	5714854	5714854
