Position,Token,Absolute Häufigkeit 1835-1870,Relative Häufigkeit 1835-1870,Absolute Häufigkeit 1800-1834,Relative Häufigkeit 1800-1837,+/-,Log ratio,Log Likelihood
150,nòd,975.0,16.06,11.0,0.82,+,4.29,305.75
151,Frk.,1234.0,20.33,14.0,1.04,+,4.28,386.54
152,Stamen,264.0,4.35,3.0,0.22,+,4.28,82.67
153,geschichtsunterricht,258.0,4.25,3.0,0.22,+,4.25,80.41
154,kurses,688.0,11.33,8.0,0.6,+,4.25,214.43
155,derartigen,515.0,8.48,6.0,0.45,+,4.24,160.45
156,einläßlich,338.0,5.57,4.0,0.3,+,4.22,104.96
157,Bläulich,252.0,4.15,3.0,0.22,+,4.21,78.16
158,Holzschnitten,252.0,4.15,3.0,0.22,+,4.21,78.16
159,seminarS,1428.0,23.53,17.0,1.27,+,4.21,442.9
160,stile,250.0,4.12,3.0,0.22,+,4.2,77.41
161,untenher,333.0,5.49,4.0,0.3,+,4.2,103.09
162,Df,1650.0,27.18,20.0,1.49,+,4.19,509.82
163,Einläßliche,246.0,4.05,3.0,0.22,+,4.18,75.91
164,Domänen,490.0,8.07,6.0,0.45,+,4.17,151.07
165,Ztr,976.0,16.08,12.0,0.9,+,4.17,300.64
166,Jahresversammlung,240.0,3.95,3.0,0.22,+,4.14,73.66
167,Humor,239.0,3.94,3.0,0.22,+,4.14,73.29
168,Besprechung,1511.0,24.89,19.0,1.42,+,4.13,463.17
169,Schnauze,477.0,7.86,6.0,0.45,+,4.13,146.2
170,Briten,238.0,3.92,3.0,0.22,+,4.13,72.92
171,Farblos,238.0,3.92,3.0,0.22,+,4.13,72.92
172,souveränetät,238.0,3.92,3.0,0.22,+,4.13,72.92
173,Schwanz,1419.0,23.38,18.0,1.34,+,4.12,434.13
174,Hochw.,8172.0,134.63,104.0,7.76,+,4.12,2498.51
175,Schulgesetz,707.0,11.65,9.0,0.67,+,4.12,216.13
176,fpäter,314.0,5.17,4.0,0.3,+,4.11,95.97
177,Koburg,314.0,5.17,4.0,0.3,+,4.11,95.97
178,Staatenkunde,235.0,3.87,3.0,0.22,+,4.11,71.79
179,Vgl,1799.0,29.64,23.0,1.72,+,4.11,549.44
180,anglikanischen,232.0,3.82,3.0,0.22,+,4.09,70.67
181,AdV,1074.0,17.69,14.0,1.04,+,4.08,326.58
182,radikalen,1225.0,20.18,16.0,1.19,+,4.08,372.33
183,mill,1593.0,26.24,21.0,1.57,+,4.07,483.17
184,KG,986.0,16.24,13.0,0.97,+,4.07,299.05
185,1839.,379.0,6.24,5.0,0.37,+,4.06,114.93
186,Violett,226.0,3.72,3.0,0.22,+,4.06,68.44
187,Anschluß,601.0,9.9,8.0,0.6,+,4.05,181.88
188,stp,299.0,4.93,4.0,0.3,+,4.04,90.38
189,Präpositionen,448.0,7.38,6.0,0.45,+,4.04,135.39
190,arsenik,222.0,3.66,3.0,0.22,+,4.03,66.95
191,Winterschule,221.0,3.64,3.0,0.22,+,4.02,66.58
192,Gestreift,441.0,7.27,6.0,0.45,+,4.02,132.78
193,StG,512.0,8.44,7.0,0.52,+,4.01,153.98
194,Admission,219.0,3.61,3.0,0.22,+,4.01,65.83
195,Anbete,219.0,3.61,3.0,0.22,+,4.01,65.83
196,qu'il,216.0,3.56,3.0,0.22,+,3.99,64.72
197,Manchester,286.0,4.71,4.0,0.3,+,3.98,85.55
198,Luxemburg,357.0,5.88,5.0,0.37,+,3.98,106.75
199,gebr.,498.0,8.2,7.0,0.52,+,3.97,148.78
200,Rhythmischen,213.0,3.51,3.0,0.22,+,3.97,63.6
201,Lehrerpersonal,283.0,4.66,4.0,0.3,+,3.96,84.44
202,Hft,421.0,6.94,6.0,0.45,+,3.95,125.36
203,ehrw,491.0,8.09,7.0,0.52,+,3.95,146.19
204,Volksschullehrer,631.0,10.4,9.0,0.67,+,3.95,187.85
205,Hochamt,279.0,4.6,4.0,0.3,+,3.94,82.95
206,Interpunktion,209.0,3.44,3.0,0.22,+,3.94,62.12
207,beô,903.0,14.88,13.0,0.97,+,3.94,268.21
208,überwacht,208.0,3.43,3.0,0.22,+,3.94,61.75
209,Frcs,554.0,9.13,8.0,0.6,+,3.93,164.43
210,Erpedition,207.0,3.41,3.0,0.22,+,3.93,61.38
211,schulbehörden,688.0,11.33,10.0,0.75,+,3.92,203.87
212,ftch,206.0,3.39,3.0,0.22,+,3.92,61.01
213,kräftigung,206.0,3.39,3.0,0.22,+,3.92,61.01
214,nebft,206.0,3.39,3.0,0.22,+,3.92,61.01
215,Tillier,412.0,6.79,6.0,0.45,+,3.92,122.02
216,Seminar,4852.0,79.94,71.0,5.3,+,3.91,1435.37
217,Referenten,546.0,9.0,8.0,0.6,+,3.91,161.47
218,Schulzimmer,409.0,6.74,6.0,0.45,+,3.91,120.91
219,attribut,408.0,6.72,6.0,0.45,+,3.91,120.54
220,ganj,272.0,4.48,4.0,0.3,+,3.91,80.36
221,Wintersemester,338.0,5.57,5.0,0.37,+,3.9,99.71
222,energisch,270.0,4.45,4.0,0.3,+,3.9,79.62
223,Volksschulwesen,471.0,7.76,7.0,0.52,+,3.89,138.79
224,Aufbesserung,201.0,3.31,3.0,0.22,+,3.89,59.16
225,Radikale,535.0,8.81,8.0,0.6,+,3.88,157.4
226,Ausstellers,267.0,4.4,4.0,0.3,+,3.88,78.52
227,jut,267.0,4.4,4.0,0.3,+,3.88,78.52
228,konfessionelle,467.0,7.69,7.0,0.52,+,3.88,137.31
229,Anschauungsweise,200.0,3.29,3.0,0.22,+,3.88,58.79
230,SDie,200.0,3.29,3.0,0.22,+,3.88,58.79
231,»om,1129.0,18.6,17.0,1.27,+,3.87,331.57
232,Diagonalen,199.0,3.28,3.0,0.22,+,3.87,58.43
233,oris,597.0,9.84,9.0,0.67,+,3.87,175.28
234,verwerthen,195.0,3.21,3.0,0.22,+,3.84,56.95
235,al«,1035.0,17.05,16.0,1.19,+,3.84,301.9
236,Schulkreise,194.0,3.2,3.0,0.22,+,3.84,56.58
237,KantonStheils,258.0,4.25,4.0,0.3,+,3.83,75.2
238,Päda-,193.0,3.18,3.0,0.22,+,3.83,56.21
239,Europa's,319.0,5.26,5.0,0.37,+,3.82,92.71
240,vorstandes,445.0,7.33,7.0,0.52,+,3.81,129.21
241,Empfängniß,317.0,5.22,5.0,0.37,+,3.81,91.97
242,thurgauische,190.0,3.13,3.0,0.22,+,3.81,55.11
243,Uebungsschule,190.0,3.13,3.0,0.22,+,3.81,55.11
244,Turner,252.0,4.15,4.0,0.3,+,3.8,72.99
245,Waisenanstalt,252.0,4.15,4.0,0.3,+,3.8,72.99
246,fagen,188.0,3.1,3.0,0.22,+,3.79,54.38
247,Vokale,249.0,4.1,4.0,0.3,+,3.78,71.89
248,Kontrole,247.0,4.07,4.0,0.3,+,3.77,71.16
249,Schulkapitel,246.0,4.05,4.0,0.3,+,3.76,70.79
250,erwirken,184.0,3.03,3.0,0.22,+,3.76,52.91
251,Heimat,1040.0,17.13,17.0,1.27,+,3.76,298.84
252,Alters-,305.0,5.02,5.0,0.37,+,3.75,87.57
253,ermitteln,305.0,5.02,5.0,0.37,+,3.75,87.57
254,Einmuth,182.0,3.0,3.0,0.22,+,3.74,52.18
255,Wortbildung,182.0,3.0,3.0,0.22,+,3.74,52.18
256,Madchenschule,665.0,10.96,11.0,0.82,+,3.74,190.46
257,Auditoren,181.0,2.98,3.0,0.22,+,3.74,51.81
258,Damast,181.0,2.98,3.0,0.22,+,3.74,51.81
259,Erft,181.0,2.98,3.0,0.22,+,3.74,51.81
260,Suni,181.0,2.98,3.0,0.22,+,3.74,51.81
261,wußtsein,181.0,2.98,3.0,0.22,+,3.74,51.81
262,schnäbel,1206.0,19.87,20.0,1.49,+,3.73,345.16
263,SeBen,482.0,7.94,8.0,0.6,+,3.73,137.92
264,obenher,542.0,8.93,9.0,0.67,+,3.73,155.06
265,Dessenungeachtet,300.0,4.94,5.0,0.37,+,3.73,85.74
266,Gebet-,180.0,2.97,3.0,0.22,+,3.73,51.44
267,Kantons¬,240.0,3.95,4.0,0.3,+,3.73,68.59
268,minar,180.0,2.97,3.0,0.22,+,3.73,51.44
269,Rathhausen,240.0,3.95,4.0,0.3,+,3.73,68.59
270,bezüglich,3037.0,50.03,51.0,3.81,+,3.72,866.16
271,hervorgehoben,1250.0,20.59,21.0,1.57,+,3.72,356.46
272,burch,297.0,4.89,5.0,0.37,+,3.71,84.64
273,Citadelle,178.0,2.93,3.0,0.22,+,3.71,50.71
274,Domkapitular,178.0,2.93,3.0,0.22,+,3.71,50.71
275,ülis,178.0,2.93,3.0,0.22,+,3.71,50.71
276,-j-,236.0,3.89,4.0,0.3,+,3.7,67.13
277,Herausgestellt,177.0,2.92,3.0,0.22,+,3.7,50.35
278,konsuln,236.0,3.89,4.0,0.3,+,3.7,67.13
279,Konsequenzen,175.0,2.88,3.0,0.22,+,3.69,49.62
280,Sieber,175.0,2.88,3.0,0.22,+,3.69,49.62
281,Mindestens,1224.0,20.17,21.0,1.57,+,3.69,346.96
282,Mittelschule,521.0,8.58,9.0,0.67,+,3.68,147.39
283,narben,231.0,3.81,4.0,0.3,+,3.67,65.31
284,Primärschule,1212.0,19.97,21.0,1.57,+,3.67,342.58
285,Schulzeitung,404.0,6.66,7.0,0.52,+,3.67,114.19
286,Schwarzbraun,173.0,2.85,3.0,0.22,+,3.67,48.89
287,Kohlenstoff,288.0,4.74,5.0,0.37,+,3.67,81.36
288,Verlage,691.0,11.38,12.0,0.9,+,3.67,195.19
289,Kleinkinderschulen,287.0,4.73,5.0,0.37,+,3.66,80.99
290,bod,284.0,4.68,5.0,0.37,+,3.65,79.9
291,Liebesgaben,227.0,3.74,4.0,0.3,+,3.65,63.85
292,Oberin,170.0,2.8,3.0,0.22,+,3.64,47.8
293,speziell,1076.0,17.73,19.0,1.42,+,3.64,302.46
294,werthvolle,339.0,5.58,6.0,0.45,+,3.64,95.23
295,Limburg,282.0,4.65,5.0,0.37,+,3.64,79.17
296,Diskussion,1462.0,24.09,26.0,1.94,+,3.63,410.11
297,anregend,224.0,3.69,4.0,0.3,+,3.63,62.76
298,beé,778.0,12.82,14.0,1.04,+,3.62,217.47
299,broch,166.0,2.73,3.0,0.22,+,3.61,46.34
300,tester,166.0,2.73,3.0,0.22,+,3.61,46.34
301,»iE,166.0,2.73,3.0,0.22,+,3.61,46.34
302,geltung,1050.0,17.3,19.0,1.42,+,3.61,293.01
303,Verständigung,497.0,8.19,9.0,0.67,+,3.61,138.66
304,Schulinspektoren,331.0,5.45,6.0,0.45,+,3.61,92.32
305,Hervorzuheben,496.0,8.17,9.0,0.67,+,3.6,138.3
306,Inis,165.0,2.72,3.0,0.22,+,3.6,45.98
307,nationale,385.0,6.34,7.0,0.52,+,3.6,107.28
308,norddeutschen,165.0,2.72,3.0,0.22,+,3.6,45.98
309,Turnplatz,165.0,2.72,3.0,0.22,+,3.6,45.98
310,Btzn,713.0,11.75,13.0,0.97,+,3.6,198.52
311,HefteS,164.0,2.7,3.0,0.22,+,3.59,45.62
312,Stürler,328.0,5.4,6.0,0.45,+,3.59,91.23
313,Pestalozzi's,273.0,4.5,5.0,0.37,+,3.59,75.91
314,Staten,491.0,8.09,9.0,0.67,+,3.59,136.49
315,Depesche,218.0,3.59,4.0,0.3,+,3.59,60.58
316,jie,327.0,5.39,6.0,0.45,+,3.59,90.87
317,Larven,381.0,6.28,7.0,0.52,+,3.59,105.83
318,herausstellen,163.0,2.69,3.0,0.22,+,3.58,45.25
319,Münchenbuchsee,869.0,14.32,16.0,1.19,+,3.58,241.23
320,Eventuell,217.0,3.58,4.0,0.3,+,3.58,60.22
321,-s-,271.0,4.46,5.0,0.37,+,3.58,75.18
322,Anfertigung,433.0,7.13,8.0,0.6,+,3.58,120.07
323,Slavischen,162.0,2.67,3.0,0.22,+,3.58,44.89
324,Selbständigkeit,430.0,7.08,8.0,0.6,+,3.57,118.99
325,Ausnahmsweise,591.0,9.74,11.0,0.82,+,3.57,163.51
326,unbefleckten,322.0,5.3,6.0,0.45,+,3.57,89.06
327,Hervorhebung,268.0,4.42,5.0,0.37,+,3.56,74.09
328,pfl,268.0,4.42,5.0,0.37,+,3.56,74.09
329,Démission,160.0,2.64,3.0,0.22,+,3.56,44.17
330,Stundenzahl,373.0,6.15,7.0,0.52,+,3.56,102.94
331,Entgegentreten,213.0,3.51,4.0,0.3,+,3.55,58.77
332,künstlerischen,213.0,3.51,4.0,0.3,+,3.55,58.77
333,Sporen,213.0,3.51,4.0,0.3,+,3.55,58.77
334,teppiche,266.0,4.38,5.0,0.37,+,3.55,73.37
335,Uebelstände,851.0,14.02,16.0,1.19,+,3.55,234.72
336,Schuljahres,742.0,12.22,14.0,1.04,+,3.55,204.43
337,au«,952.0,15.68,18.0,1.34,+,3.55,262.11
338,Neubauten,370.0,6.1,7.0,0.52,+,3.54,101.85
339,irgendwie,422.0,6.95,8.0,0.6,+,3.54,116.09
340,Chlor,158.0,2.6,3.0,0.22,+,3.54,43.44
341,entgegenzutreten,158.0,2.6,3.0,0.22,+,3.54,43.44
342,hiesür,158.0,2.6,3.0,0.22,+,3.54,43.44
343,Elementarschule,1101.0,18.14,21.0,1.57,+,3.53,302.31
344,Shawls,314.0,5.17,6.0,0.45,+,3.53,86.17
345,JubiläumS,209.0,3.44,4.0,0.3,+,3.53,57.32
346,Russel,209.0,3.44,4.0,0.3,+,3.53,57.32
347,Referent,1042.0,17.17,20.0,1.49,+,3.52,285.54
348,worben,675.0,11.12,13.0,0.97,+,3.52,184.77
349,Kali,515.0,8.48,10.0,0.75,+,3.51,140.6
350,Kleinkinderschule,206.0,3.39,4.0,0.3,+,3.51,56.24
351,schulgesetzes,511.0,8.42,10.0,0.75,+,3.5,139.16
352,clum,255.0,4.2,5.0,0.37,+,3.49,69.4
353,Thatsächlich,357.0,5.88,7.0,0.52,+,3.49,97.16
354,weiss,813.0,13.39,16.0,1.19,+,3.49,221.01
355,Festlichkeiten,203.0,3.34,4.0,0.3,+,3.49,55.16
356,Betheiligt,505.0,8.32,10.0,0.75,+,3.48,137.0
357,Primar-,756.0,12.45,15.0,1.12,+,3.48,204.97
358,festlich,352.0,5.8,7.0,0.52,+,3.47,95.36
359,KäntonSschulrath,201.0,3.31,4.0,0.3,+,3.47,54.44
360,halm,451.0,7.43,9.0,0.67,+,3.47,122.05
361,Aneignung,250.0,4.12,5.0,0.37,+,3.46,67.6
362,Bi«,346.0,5.7,7.0,0.52,+,3.45,93.21
363,Bombay,245.0,4.04,5.0,0.37,+,3.43,65.81
364,knollen,293.0,4.83,6.0,0.45,+,3.43,78.61
365,Durchführung,873.0,14.38,18.0,1.34,+,3.42,233.69
366,Wagrecht,194.0,3.2,4.0,0.3,+,3.42,51.93
367,Bao,339.0,5.58,7.0,0.52,+,3.42,90.7
368,Aargauischen,1063.0,17.51,22.0,1.64,+,3.41,284.19
369,E«,1155.0,19.03,24.0,1.79,+,3.41,308.36
370,Staubfaden,240.0,3.95,5.0,0.37,+,3.41,64.02
371,Josef,766.0,12.62,16.0,1.19,+,3.4,204.15
372,Defizit,239.0,3.94,5.0,0.37,+,3.4,63.66
373,kurse,1147.0,18.9,24.0,1.79,+,3.4,305.5
374,Gü,9468.0,155.98,199.0,14.85,+,3.39,2518.12
375,Staatsgebiet,190.0,3.13,4.0,0.3,+,3.39,50.5
376,Strauß,665.0,10.96,14.0,1.04,+,3.39,176.75
377,RieSbach,237.0,3.9,5.0,0.37,+,3.39,62.95
378,JahreS-,284.0,4.68,6.0,0.45,+,3.39,75.39
379,Rpp,189.0,3.11,4.0,0.3,+,3.38,50.14
380,Schulleben,189.0,3.11,4.0,0.3,+,3.38,50.14
381,Verhaltniss,377.0,6.21,8.0,0.6,+,3.38,99.93
382,vgl.,377.0,6.21,8.0,0.6,+,3.38,99.93
383,Schriftsprache,612.0,10.08,13.0,0.97,+,3.38,162.16
384,Molasse,188.0,3.1,4.0,0.3,+,3.37,49.79
385,Zumeist,375.0,6.18,8.0,0.6,+,3.37,99.22
386,Strafanstalt,515.0,8.48,11.0,0.82,+,3.37,136.2
387,beg,234.0,3.86,5.0,0.37,+,3.37,61.88
388,Durchschnittliche,372.0,6.13,8.0,0.6,+,3.36,98.15
389,Schuljahrs,186.0,3.06,4.0,0.3,+,3.36,49.07
390,tendenzen,372.0,6.13,8.0,0.6,+,3.36,98.15
391,bethätigen,278.0,4.58,6.0,0.45,+,3.35,73.25
392,vertretung,417.0,6.87,9.0,0.67,+,3.35,109.88
393,Fr-,877.0,14.45,19.0,1.42,+,3.35,230.78
394,Pft,1244.0,20.49,27.0,2.02,+,3.35,327.15
395,halbjahrlich,1013.0,16.69,22.0,1.64,+,3.35,266.34
396,Gelblich,552.0,9.09,12.0,0.9,+,3.34,145.08
397,Gediegen,229.0,3.77,5.0,0.37,+,3.34,60.1
398,formell,183.0,3.01,4.0,0.3,+,3.34,48.0
399,Schülerzahl,729.0,12.01,16.0,1.19,+,3.33,190.95
400,Hervorheben,318.0,5.24,7.0,0.52,+,3.33,83.21
401,fälschung,181.0,2.98,4.0,0.3,+,3.32,47.29
402,preuss,181.0,2.98,4.0,0.3,+,3.32,47.29
403,werthvollen,181.0,2.98,4.0,0.3,+,3.32,47.29
404,angestrebt,452.0,7.45,10.0,0.75,+,3.32,118.06
405,segensreiche,226.0,3.72,5.0,0.37,+,3.32,59.03
406,Vorstande,452.0,7.45,10.0,0.75,+,3.32,118.06
407,reparirt,225.0,3.71,5.0,0.37,+,3.31,58.67
408,Stocker,180.0,2.97,4.0,0.3,+,3.31,46.94
409,Sträflingen,225.0,3.71,5.0,0.37,+,3.31,58.67
410,Pei,269.0,4.43,6.0,0.45,+,3.31,70.05
411,Lehrerin,1165.0,19.19,26.0,1.94,+,3.31,303.33
412,Außersihl,179.0,2.95,4.0,0.3,+,3.3,46.58
413,Clerus,358.0,5.9,8.0,0.6,+,3.3,93.17
414,Kirchenstaat,492.0,8.11,11.0,0.82,+,3.3,128.02
415,Propaganda,492.0,8.11,11.0,0.82,+,3.3,128.02
416,Ordinarius,268.0,4.42,6.0,0.45,+,3.3,69.7
417,Demgemäß,312.0,5.14,7.0,0.52,+,3.3,81.08
418,Wahlkreis,178.0,2.93,4.0,0.3,+,3.3,46.23
419,wurdcn,222.0,3.66,5.0,0.37,+,3.29,57.61
420,Lotzwyl,176.0,2.9,4.0,0.3,+,3.28,45.52
421,Inspektionen,219.0,3.61,5.0,0.37,+,3.27,56.55
422,beantragte,262.0,4.32,6.0,0.45,+,3.27,67.57
423,verwachsen,654.0,10.77,15.0,1.12,+,3.27,168.58
424,Anlehen,174.0,2.87,4.0,0.3,+,3.26,44.81
425,Pflanzland,304.0,5.01,7.0,0.52,+,3.26,78.25
426,grünlich,347.0,5.72,8.0,0.6,+,3.26,89.27
427,Könvent,260.0,4.28,6.0,0.45,+,3.26,66.87
428,ergänzenden,173.0,2.85,4.0,0.3,+,3.25,44.46
429,Akadem,259.0,4.27,6.0,0.45,+,3.25,66.51
430,Sprechübungen,345.0,5.68,8.0,0.6,+,3.25,88.57
431,patentirte,172.0,2.83,4.0,0.3,+,3.25,44.11
432,Répétition,172.0,2.83,4.0,0.3,+,3.25,44.11
433,begrüßen,514.0,8.47,12.0,0.9,+,3.24,131.62
434,Einleger,171.0,2.82,4.0,0.3,+,3.24,43.75
435,schulrathes,213.0,3.51,5.0,0.37,+,3.23,54.43
436,Großartigen,596.0,9.82,14.0,1.04,+,3.23,152.26
437,Aehnlich,340.0,5.6,8.0,0.6,+,3.23,86.8
438,Blättchen,510.0,8.4,12.0,0.9,+,3.23,130.21
439,Hervorragende,255.0,4.2,6.0,0.45,+,3.23,65.1
